ID salarié;Nom;Prénom;Moyen de déplacement;Distance_siege;Statut_Eligibilite;Montant_Prime_Reel;Nombre_Activites;Jour Bien être
59019;Colin;Audrey;Transports en commun;8,0;❌ Non Éligible;0,0;18;5
19841;Ledoux;Monique;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;19;5
56482;Dumont;Michelle;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;10;0
21886;Toussaint;Judith;Marche/running;1,5;✅ Éligible;3516,0;17;5
81001;Bailly;Michelle;Marche/running;1,5;✅ Éligible;2343,5;23;5
17757;Bazin;Margaret;Vélo/Trottinette/Autres;8,0;✅ Éligible;1573,0;15;5
17036;Jacques;Julien;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;14;0
36913;Pons;Brigitte;Transports en commun;8,0;❌ Non Éligible;0,0;23;5
79006;Rousset;Jérome;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;16;5
62296;Chauvin;Zakaria;Vélo/Trottinette/Autres;8,0;✅ Éligible;3434,0;20;5
90284;Chartier;Aurélie;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;18;5
83440;Maillard;Augustin;Transports en commun;7,5;❌ Non Éligible;0,0;21;5
18246;Tessier;Francoise;Vélo/Trottinette/Autres;1,5;✅ Éligible;1534,0;20;5
33386;Neveu;Yves;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;13;0
19773;Fischer;Benoit;véhicule thermique/électrique;7,5;❌ Non Éligible;0,0;11;0
70643;Rodriguez;Antoine;Vélo/Trottinette/Autres;7,5;✅ Éligible;1472,0;14;0
25701;Foucher;Eugénie;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;11;0
99514;Olivier;Léon;Transports en commun;7,5;❌ Non Éligible;0,0;15;5
43124;Laole;Francoise;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;18;5
56632;Evrard;Claire;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;21;5
28160;Humbert;Victor;Vélo/Trottinette/Autres;1,5;✅ Éligible;1681,0;13;0
15493;Devaux;Alice;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;21;5
84233;Gauthier;Michelle;Vélo/Trottinette/Autres;7,5;✅ Éligible;3658,0;11;0
17997;Dias;Mathilde;véhicule thermique/électrique;7,5;❌ Non Éligible;0,0;20;5
48589;Lopez;Robert;Vélo/Trottinette/Autres;7,5;✅ Éligible;2480,5;16;5
76341;Joubert;Claudine;Vélo/Trottinette/Autres;7,5;✅ Éligible;2185,5;19;5
89943;Royer;Benjamin;Marche/running;8,0;✅ Éligible;3265,5;16;5
46253;Blin;Léa;véhicule thermique/électrique;1,5;❌ Non Éligible;0,0;13;0
17376;Rey;Diane;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;10;0
22426;Poirier;Gabriel;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;16;5
34413;Aubert;Brigitte;Marche/running;8,0;✅ Éligible;3552,0;12;0
44472;Lemaire;Maurice;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;11;0
97309;Roussel;Charles;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;17;5
39874;Rossi;Claire;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;16;5
92736;Lagarde;Alain;Vélo/Trottinette/Autres;11,0;✅ Éligible;2160,5;13;0
43015;Mendes;Juliette;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;19;5
71502;Louis;Mégane;Vélo/Trottinette/Autres;7,5;✅ Éligible;1692,5;18;5
16872;Toussaint;Francoise;Vélo/Trottinette/Autres;8,0;✅ Éligible;1528,0;16;5
76771;Munoz;Andréa;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;12;0
50408;Bonneau;Monique;Marche/running;8,0;✅ Éligible;2735,5;13;0
49804;Carlier;Constance;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;19;5
20083;Jacquot;Marcel;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;18;5
37866;Gautier;Marine;Transports en commun;8,0;❌ Non Éligible;0,0;16;5
71190;Vallet;Andre;Vélo/Trottinette/Autres;8,0;✅ Éligible;2929,0;19;5
57202;Martel;Louis;Transports en commun;7,5;❌ Non Éligible;0,0;11;0
27620;Hebert;William;Vélo/Trottinette/Autres;1,5;✅ Éligible;3406,0;19;5
36981;Schmitt;Jules;Marche/running;1,5;✅ Éligible;2120,5;17;5
89328;Lambert;Denise;Vélo/Trottinette/Autres;7,5;✅ Éligible;1946,5;15;5
50309;Lacroix;Olivie;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;11;0
32690;Hamon;Paul;Vélo/Trottinette/Autres;8,0;✅ Éligible;1821,5;16;5
43861;Klein;Christine;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;13;0
17027;Boyer;Julie;Vélo/Trottinette/Autres;7,5;✅ Éligible;1809,0;16;5
99401;Pons;Yves;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;17;5
86847;Arnaud;Jeremy;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;11;0
58045;Provost;Elodie;Vélo/Trottinette/Autres;11,0;✅ Éligible;2145,5;14;0
53673;Ferrand;Julien;Vélo/Trottinette/Autres;7,5;✅ Éligible;1585,0;17;5
13064;Thibault;Henriette;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;13;0
18918;Michaud;Naomie;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;9;0
51328;Albert;Adèle;Vélo/Trottinette/Autres;8,0;✅ Éligible;3715,0;16;5
86633;Rodriguez;Léon;véhicule thermique/électrique;8,0;❌ Non Éligible;0,0;13;0
